ids,names
http://www.wikidata.org/entity/Q15820962,Jens Langbein
http://www.wikidata.org/entity/Q15834312,Masha Qrella
http://www.wikidata.org/entity/Q15835857,Murray Shostak
http://www.wikidata.org/entity/Q15846027,Lindsey Collins
http://www.wikidata.org/entity/Q1585912,Harold Rome
http://www.wikidata.org/entity/Q15864814,Signe Byrge Sørensen
http://www.wikidata.org/entity/Q15941546,Gabrielle Tana
http://www.wikidata.org/entity/Q15962220,Richard Shepherd
http://www.wikidata.org/entity/Q1597011,Peter Matz
http://www.wikidata.org/entity/Q15974186,Claude Carrère
http://www.wikidata.org/entity/Q1598922,Herschel Burke Gilbert
http://www.wikidata.org/entity/Q15997763,Leo Erdody
http://www.wikidata.org/entity/Q16003693,Jack J. Gross
http://www.wikidata.org/entity/Q16004445,Peggi Blu
http://www.wikidata.org/entity/Q16006746,James B. Donovan
http://www.wikidata.org/entity/Q16012455,Gabriel Katzka
http://www.wikidata.org/entity/Q1605102,Hendrik Schwarzer
http://www.wikidata.org/entity/Q16065149,Sisse Graum Jørgensen
http://www.wikidata.org/entity/Q1606880,Melissa Marr
http://www.wikidata.org/entity/Q1607854,Herb Jaffe
http://www.wikidata.org/entity/Q160802,Marcel Dassault
http://www.wikidata.org/entity/Q1609199,Herbert Stothart
http://www.wikidata.org/entity/Q16092060,Cha Seung-jae
http://www.wikidata.org/entity/Q16105869,Artie Butler
http://www.wikidata.org/entity/Q16107181,Allan Zavod
http://www.wikidata.org/entity/Q1611679,Michael Riessler
http://www.wikidata.org/entity/Q16138844,Metinee Kingpayome
http://www.wikidata.org/entity/Q16166723,Bob Cavallo
http://www.wikidata.org/entity/Q16194192,John McCarthy
http://www.wikidata.org/entity/Q16201673,Prem Prakash
http://www.wikidata.org/entity/Q162045,Owen Pallett
http://www.wikidata.org/entity/Q16221678,Julian Wass
http://www.wikidata.org/entity/Q16226569,Arnold Stiefel
http://www.wikidata.org/entity/Q16239437,James Weaver
http://www.wikidata.org/entity/Q16245589,Carlo Tuzii
http://www.wikidata.org/entity/Q1625070,Nathaniel Shilkret
http://www.wikidata.org/entity/Q16256317,Lee Seung-jae
http://www.wikidata.org/entity/Q1628257,Riccardo Del Fra
http://www.wikidata.org/entity/Q16318340,Alicia Remirez
http://www.wikidata.org/entity/Q16364342,Aleksandr Litvinov
http://www.wikidata.org/entity/Q1638939,Knut Schreiner
http://www.wikidata.org/entity/Q164004,Alexander Borodin
http://www.wikidata.org/entity/Q16447651,Georgy Malkov
http://www.wikidata.org/entity/Q16514621,Vladimir Osinsky
http://www.wikidata.org/entity/Q16514987,Masha Slonim
http://www.wikidata.org/entity/Q16528828,Arturo Paglia
http://www.wikidata.org/entity/Q16538534,Charles Court
http://www.wikidata.org/entity/Q16559055,Giampaolo Letta
http://www.wikidata.org/entity/Q165686,Frank Skinner
http://www.wikidata.org/entity/Q1658005,Iiro Rantala
http://www.wikidata.org/entity/Q16581105,Javier Ibarretxe
http://www.wikidata.org/entity/Q16597050,Roman Jarosz
http://www.wikidata.org/entity/Q16606883,Michelle
http://www.wikidata.org/entity/Q16607621,Sonia Raule
http://www.wikidata.org/entity/Q1663160,Ingo Ludwig Frenzel
http://www.wikidata.org/entity/Q16654559,Andrey Zuyev
http://www.wikidata.org/entity/Q1665575,Piero Piccioni
http://www.wikidata.org/entity/Q16665451,Mowg
http://www.wikidata.org/entity/Q166663,Bonar Law
http://www.wikidata.org/entity/Q16722082,Darya Khlyostkina
http://www.wikidata.org/entity/Q16727561,Steve Boeddeker
http://www.wikidata.org/entity/Q16730334,Johnny Jewel
http://www.wikidata.org/entity/Q16734008,Pascaline Edwards
http://www.wikidata.org/entity/Q167399,Milton Ager
http://www.wikidata.org/entity/Q1675864,Ivan Vandor
http://www.wikidata.org/entity/Q1677025,Jack Elliott
http://www.wikidata.org/entity/Q1681223,James V. Monaco
http://www.wikidata.org/entity/Q1682290,Jan Tilman Schade
http://www.wikidata.org/entity/Q1682531,Jana Sue Memel
http://www.wikidata.org/entity/Q1684913,Jean-Jacques Grunenwald
http://www.wikidata.org/entity/Q1685445,Jean Corti
http://www.wikidata.org/entity/Q168555,Alison Goldfrapp
http://www.wikidata.org/entity/Q1687364,Ulrich Sinn
http://www.wikidata.org/entity/Q1691004,Joby Talbot
http://www.wikidata.org/entity/Q1691122,Jochen Laube
http://www.wikidata.org/entity/Q1691721,Joel Hirschhorn
http://www.wikidata.org/entity/Q169341,Walter Donaldson
http://www.wikidata.org/entity/Q16935134,Doug Mitchell
http://www.wikidata.org/entity/Q1701544,John Rea
http://www.wikidata.org/entity/Q170209,Vincenzo Bellini
http://www.wikidata.org/entity/Q1702562,Joja Wendt
http://www.wikidata.org/entity/Q17036970,Mar Targarona
http://www.wikidata.org/entity/Q1704751,Luciano
http://www.wikidata.org/entity/Q1706727,Joseph Carl Breil
http://www.wikidata.org/entity/Q1707096,Joseph E. Gershenson
http://www.wikidata.org/entity/Q1708504,Josh Homme
http://www.wikidata.org/entity/Q1709539,José Nieto
http://www.wikidata.org/entity/Q1711958,Julian Blaustein
http://www.wikidata.org/entity/Q1712027,Julian Maas
http://www.wikidata.org/entity/Q1713908,Yuri Khanon
http://www.wikidata.org/entity/Q17171,Vasco Rossi
http://www.wikidata.org/entity/Q1720016,Kazimierz Serocki
http://www.wikidata.org/entity/Q1720954,Kadir Sözen
http://www.wikidata.org/entity/Q172632,Amy Lee
http://www.wikidata.org/entity/Q1729142,Karel Dirka
http://www.wikidata.org/entity/Q17291692,Jacques Maumont
http://www.wikidata.org/entity/Q1734862,Thomas Konrad
http://www.wikidata.org/entity/Q17362519,Ardo Ran Varres
http://www.wikidata.org/entity/Q1741956,Turi Vasile
http://www.wikidata.org/entity/Q17444520,Santiago Ojeda Pérez
http://www.wikidata.org/entity/Q174479,David Darling
http://www.wikidata.org/entity/Q1745777,Louis Forbes
http://www.wikidata.org/entity/Q1747086,Timo Müller
http://www.wikidata.org/entity/Q17479220,William Jacobs
http://www.wikidata.org/entity/Q17486055,Pierre Latour
http://www.wikidata.org/entity/Q17490048,Ed Côrtes
http://www.wikidata.org/entity/Q1749290,Maurice Le Roux
http://www.wikidata.org/entity/Q17517342,Francisco Augusto Neto Ramos
http://www.wikidata.org/entity/Q1753627,Alex Heffes
http://www.wikidata.org/entity/Q17537036,Andreas Schneppe
http://www.wikidata.org/entity/Q17561405,Hanna Elffors Elfström
http://www.wikidata.org/entity/Q1765698,Eicca Toppinen
http://www.wikidata.org/entity/Q1794141,Kurt Stocker
http://www.wikidata.org/entity/Q179516,Paolo Conte
http://www.wikidata.org/entity/Q179631,Edward Elgar
http://www.wikidata.org/entity/Q180278,Charles Gounod
http://www.wikidata.org/entity/Q1806063,Larry Goldings
http://www.wikidata.org/entity/Q1811738,Philip Stegers
http://www.wikidata.org/entity/Q18129138,Jim Williams
http://www.wikidata.org/entity/Q181538,Rudolf Abel
http://www.wikidata.org/entity/Q1816925,An Pierlé
http://www.wikidata.org/entity/Q18176103,Igor Mishin
http://www.wikidata.org/entity/Q1818079,Lennie Niehaus
http://www.wikidata.org/entity/Q1818166,Lenny White
http://www.wikidata.org/entity/Q1818548,Leo F. Forbstein
http://www.wikidata.org/entity/Q1818748,Leo Shuken
http://www.wikidata.org/entity/Q181894,Pietro Mascagni
http://www.wikidata.org/entity/Q1819373,Leonid Rozhetskin
http://www.wikidata.org/entity/Q18223065,Henryk Chroscicki
http://www.wikidata.org/entity/Q183087,Alessandro Scarlatti
http://www.wikidata.org/entity/Q183381,Vasily Zaytsev
http://www.wikidata.org/entity/Q18402091,Ian Fraser
http://www.wikidata.org/entity/Q1844447,Samuele Bersani
http://www.wikidata.org/entity/Q184933,Leoš Janáček
http://www.wikidata.org/entity/Q1853186,David Choi
http://www.wikidata.org/entity/Q185647,Alexander Scriabin
http://www.wikidata.org/entity/Q18637232,Carrie Wong
http://www.wikidata.org/entity/Q1867851,Loek Dikker
http://www.wikidata.org/entity/Q18684873,Bolanle Austen-Peters
http://www.wikidata.org/entity/Q187192,Erik Satie
http://www.wikidata.org/entity/Q187269,Richard Portman
http://www.wikidata.org/entity/Q1877705,Lusine
http://www.wikidata.org/entity/Q1878644,Lydie Auvray
http://www.wikidata.org/entity/Q1884086,David Hentschel
http://www.wikidata.org/entity/Q1888059,Yoann Lemoine
http://www.wikidata.org/entity/Q189534,Arvo Pärt
http://www.wikidata.org/entity/Q1902096,Marlin Skiles
http://www.wikidata.org/entity/Q1904542,Martin Manulis
http://www.wikidata.org/entity/Q1905104,Martin Stock
http://www.wikidata.org/entity/Q1906085,Marvin Hatley
http://www.wikidata.org/entity/Q1906396,Mary Selway
http://www.wikidata.org/entity/Q1909151,Matt Cohen
http://www.wikidata.org/entity/Q1909207,Matt Johnson
http://www.wikidata.org/entity/Q1911484,Maurice Yvain
http://www.wikidata.org/entity/Q191408,Francis Poulenc
http://www.wikidata.org/entity/Q19258831,Alex Gottlieb
http://www.wikidata.org/entity/Q19294979,Lothar Perl
http://www.wikidata.org/entity/Q19301128,Marta Esteban i Roca
http://www.wikidata.org/entity/Q1930563,Michał Lorenc
http://www.wikidata.org/entity/Q1930839,Michel Michelet
http://www.wikidata.org/entity/Q1931736,O.S.T.R.
http://www.wikidata.org/entity/Q193273,Goran Bregović
http://www.wikidata.org/entity/Q193283,Manuel de Falla
http://www.wikidata.org/entity/Q1933397,Michael Moran
http://www.wikidata.org/entity/Q1933793,RJD2
http://www.wikidata.org/entity/Q1935233,Alexander Knaifel
http://www.wikidata.org/entity/Q19356936,Richard B. Goodwin
http://www.wikidata.org/entity/Q19359563,John Lesher
http://www.wikidata.org/entity/Q1937469,Mino Cinelu
http://www.wikidata.org/entity/Q19384385,Ola Fløttum
http://www.wikidata.org/entity/Q1938474,Miroslav Tadić
http://www.wikidata.org/entity/Q1939469,Mitch Leigh
http://www.wikidata.org/entity/Q19410342,Franco Rossellini
http://www.wikidata.org/entity/Q1944258,Mondkopf
http://www.wikidata.org/entity/Q19513833,Walter Cikan
http://www.wikidata.org/entity/Q19560626,Nora Grossman
http://www.wikidata.org/entity/Q195773,Alexey Rybnikov
http://www.wikidata.org/entity/Q19578234,James White
http://www.wikidata.org/entity/Q19630995,Adriano Cominotto
http://www.wikidata.org/entity/Q19661212,Ted Sarandos
http://www.wikidata.org/entity/Q1966670,Nathan Wang
http://www.wikidata.org/entity/Q1966681,Ralph Burns
http://www.wikidata.org/entity/Q1968179,Vladimir Dashkevich
http://www.wikidata.org/entity/Q1969558,Otomo Yoshihide
http://www.wikidata.org/entity/Q19721329,Cyrille Aufort
http://www.wikidata.org/entity/Q1973924,Ned Washington
http://www.wikidata.org/entity/Q1974203,Neffa
http://www.wikidata.org/entity/Q19844128,Yevgeny Nikishov
http://www.wikidata.org/entity/Q1985519,Nicholas Sillitoe
http://www.wikidata.org/entity/Q1986248,Leonid Desyatnikov
http://www.wikidata.org/entity/Q19879918,Dan Friedkin
http://www.wikidata.org/entity/Q19908964,Ilya Demutsky
http://www.wikidata.org/entity/Q19937220,Rodrigo Teixeira
http://www.wikidata.org/entity/Q19941076,Jung Jae-il
http://www.wikidata.org/entity/Q1995479,Clarence Öfwerman
