,ID,predicate,list
72,P425,field of this occupation,"['field', 'occupation']"
73,P437,distribution format,"['distribution', 'format']"
74,P449,original broadcaster,"['original', 'broadcaster']"
75,P451,unmarried partner,"['unmarried', 'partner']"
76,P452,industry,['industry']
77,P460,said to be the same as,['said']
78,P461,opposite of,['opposite']
79,P462,color,['color']
80,P463,member of,['member']
81,P466,occupant,['occupant']
82,P479,input method,"['input', 'method']"
83,P485,archives at,['archives']
84,P495,country of origin,"['country', 'origin']"
85,P509,cause of death,"['cause', 'death']"
86,P527,has part,['part']
87,P530,diplomatic relation,"['diplomatic', 'relation']"
88,P551,residence,['residence']
89,P607,conflict,['conflict']
